accg_z,lap,accg_y,pos_z,trackPosition,pos_x,pos_y,gear,speedKmh,lapTimeMs,accg_x,gas,brake,lapInvalidated
0.29364094138145447,18,0.09745269268751144,808.4775390625,0.0007563467370346189,-46.34751510620117,3.5741453170776367,7,198.07247924804688,21,-0.10381308197975159,1.0,0.0,0
0.3027919828891754,18,-0.0880197063088417,811.9064331054688,0.0023534055799245834,-51.82048034667969,3.5084023475646973,7,199.28309631347656,138,-0.05591171979904175,1.0,0.0,0
0.32043784856796265,18,-0.006488187238574028,815.4359741210938,0.004003092646598816,-57.473609924316406,3.4291465282440186,7,200.49789428710938,258,-0.02812320739030838,1.0,0.0,0
0.2728469669818878,18,0.0774340108036995,818.804443359375,0.005575852934271097,-62.88010787963867,3.3572916984558105,7,201.72500610351562,372,-0.014739066362380981,1.0,0.0,0
0.2615370452404022,18,-0.10429755598306656,822.19140625,0.007159739267081022,-68.31832122802734,3.289355993270874,7,202.8437957763672,486,0.020084857940673828,1.0,0.0,0
0.29821082949638367,18,0.18438836932182312,825.5091552734375,0.008764083497226238,-73.642578125,3.2250654697418213,7,204.00645446777344,597,0.008739292621612549,1.0,0.0,0
0.2655370235443115,18,-0.2652309238910675,828.8460083007812,0.010238551534712315,-78.99541473388672,3.173251152038574,7,205.07232666015625,708,0.0016107484698295593,1.0,0.0,0
0.28532910346984863,18,0.1262826770544052,832.2012939453125,0.01183273084461689,-84.37635803222656,3.101947069168091,7,206.19647216796875,819,0.020470082759857178,1.0,0.0,0
0.2862403392791748,18,-0.08963673561811447,835.5762939453125,0.01340684574097395,-89.78526306152344,3.0365257263183594,7,207.27928161621094,930,0.04376302659511566,1.0,0.0,0
0.28494542837142944,18,-0.021096253767609596,838.9735717773438,0.014991380274295807,-95.21943664550781,2.9652199745178223,7,208.35903930664062,1041,0.10961545258760452,1.0,0.0,0
0.264515221118927,18,0.06903664022684097,842.399169921875,0.016582589596509933,-100.67483520507812,2.891451597213745,7,209.41893005371094,1152,0.16870424151420593,1.0,0.0,0
0.2656645178794861,18,0.056883297860622406,845.858154296875,0.018182925879955292,-106.1475601196289,2.82651948928833,7,210.46347045898438,1263,0.14801090955734253,1.0,0.0,0
0.27996981143951416,18,-0.09251607209444046,849.3478393554688,0.019790049642324448,-111.63807678222656,2.7634377479553223,7,211.46897888183594,1374,0.10103998333215714,1.0,0.0,0
0.25436049699783325,18,-0.022463515400886536,852.86328125,0.021406080573797226,-117.1490478515625,2.6907126903533936,7,212.4771728515625,1485,0.07943452894687653,1.0,0.0,0
0.26072436571121216,18,0.04687757045030594,856.4991455078125,0.023072849959135056,-122.83050537109375,2.614231586456299,7,213.48974609375,1599,0.10273871570825577,1.0,0.0,0
0.2394651621580124,18,-0.09320905804634094,859.970458984375,0.02465689927339554,-128.23065185546875,2.541844129562378,7,214.4185028076172,1707,0.13461622595787048,1.0,0.0,0
0.24233335256576538,18,0.1092192605137825,863.6661987304688,0.026340782642364502,-133.9463653564453,2.459982395172119,7,215.41444396972656,1821,0.17864719033241272,1.0,0.0,0
0.2484053671360016,18,-0.02593756653368473,867.199951171875,0.02794043719768524,-139.3740997314453,2.389364719390869,7,216.3158416748047,1929,0.17090260982513428,1.0,0.0,0
0.23150815069675446,18,0.09482237696647644,870.9622802734375,0.029636742547154427,-145.11732482910156,2.3134348392486572,7,217.26234436035156,2043,0.08835779875516891,1.0,0.0,0
0.2104942500591278,18,0.006362410727888346,874.6497802734375,0.031295325607061386,-150.72808837890625,2.246933937072754,7,218.17410278320312,2154,-0.055963993072509766,1.0,0.0,0
0.25067949295043945,18,-0.06687553226947784,878.34765625,0.032960470765829086,-156.36512756347656,2.183612108230591,7,219.0703582763672,2265,-0.14777545630931854,1.0,0.0,0
0.23010630905628204,18,-0.16377027332782745,882.0452880859375,0.034633293747901917,-162.03466796875,2.108402729034424,7,219.9335479736328,2376,-0.23883336782455444,1.0,0.0,0
0.2486913949251175,18,0.04080337658524513,885.731201171875,0.03631221130490303,-167.74400329589844,2.02089786529541,7,220.83509826660156,2487,-0.29976731538772583,1.0,0.0,0
0.22834372520446777,18,-0.0400971956551075,889.4024047851562,0.0379989929497242,-173.4945526123047,1.9342974424362183,7,221.6769256591797,2598,-0.18882665038108826,1.0,0.0,0
0.21840326488018036,18,-0.02198089100420475,893.0682373046875,0.03969065845012665,-179.280029296875,1.844927191734314,7,222.5562286376953,2709,-0.1054505854845047,1.0,0.0,0
0.17426255345344543,18,-0.0728006511926651,896.7383422851562,0.041388921439647675,-185.0936737060547,1.7497814893722534,7,223.3739013671875,2820,0.01999245584011078,0.875,0.0332178957760334,0
-1.4559494256973267,18,0.11236058920621872,900.402099609375,0.043084707111120224,-190.89089965820312,1.6513944864273071,7,220.53256225585938,2931,0.07967203855514526,0.0,0.7653340697288513,0
-1.8767287731170654,18,-0.03328883275389671,903.9807739257812,0.04473816975951195,-196.5399627685547,1.5654280185699463,7,213.58734130859375,3042,0.010482251644134521,0.0,0.9446408748626709,0
-1.880566120147705,18,-0.03278765827417374,907.4434814453125,0.04633729159832001,-202.00067138671875,1.4782805442810059,7,206.411376953125,3153,-0.0067868828773498535,0.0,0.9088284373283386,0
-1.6975224018096924,18,0.13820910453796387,910.7888793945312,0.04788292199373245,-207.277099609375,1.398417592048645,7,199.575927734375,3264,-0.033877551555633545,0.0,0.8565073013305664,0
-1.6269900798797607,18,-0.1376107633113861,914.024658203125,0.04937788471579552,-212.38282775878906,1.3298577070236206,1,193.12120056152344,3375,0.05202949047088623,0.6933333277702332,0.8565073013305664,0
