lap,pos_z,pos_x,pos_y,lapTimeMs,brake,lapInvalidated,gear,accg_z,gas,speedKmh,accg_y,accg_x,trackPosition
2,433.4170837402344,-171.6366424560547,10.003621101379395,12,0.0,0,5,0.2878487706184387,1.0,112.55463409423828,0.36027413606643677,0.4158798158168793,0.0007411189144477248
2,436.0058898925781,-169.748046875,10.078981399536133,114,0.0,0,5,0.3317776322364807,1.0,113.63685607910156,0.6757231950759888,-0.12955164909362793,0.0017028935253620148
2,438.62060546875,-167.8468017578125,10.192338943481445,216,0.0,0,5,0.1239754781126976,1.0,114.50289916992188,-0.4693290889263153,-0.20322245359420776,0.0026722000911831856
2,441.2751159667969,-165.9457244873047,10.280159950256348,318,0.0,0,5,0.31321483850479126,1.0,115.927978515625,0.009738542139530182,-0.3238133490085602,0.0036490880884230137
2,444.0594787597656,-163.997802734375,10.368522644042969,423,0.0,0,5,0.3864588141441345,1.0,117.10629272460938,-0.11207577586174011,-0.3536539673805237,0.0046668206341564655
2,446.8154296875,-162.11883544921875,10.448684692382812,525,0.0,0,5,0.3007274270057678,1.0,118.27153778076172,0.19157323241233826,-0.4379133880138397,0.0056675574742257595
2,449.62066650390625,-160.25782775878906,10.540289878845215,627,0.0,0,5,0.31089991331100464,1.0,119.35308837890625,-0.13673050701618195,-0.3340258002281189,0.0066772326827049255
2,452.5574951171875,-158.35496520996094,10.626548767089844,732,0.0,0,5,0.39094895124435425,1.0,120.52352142333984,-0.13032934069633484,-0.39194485545158386,0.007729678880423307
2,455.54583740234375,-156.4676513671875,10.708564758300781,837,0.0,0,5,0.3736676871776581,1.0,121.71875,-0.057135991752147675,-0.26199933886528015,0.008788852952420712
2,458.49395751953125,-154.64321899414062,10.781996726989746,939,0.0,0,5,0.284917950630188,1.0,122.93440246582031,0.018459178507328033,-0.2853316366672516,0.009831644594669342
2,462.1928405761719,-152.3953399658203,10.872438430786133,1065,0.0,0,5,0.31225550174713135,1.0,124.3668212890625,-0.018956640735268593,-0.17900660634040833,0.011160465888679028
2,465.3194885253906,-150.5211639404297,10.948882102966309,1170,0.0,0,5,0.3085251450538635,1.0,125.55963897705078,0.11105942726135254,-0.17237642407417297,0.012157491408288479
2,468.39385986328125,-148.69813537597656,11.030519485473633,1272,0.0,0,5,0.2789256274700165,1.0,126.68603515625,0.061207860708236694,-0.1686764806509018,0.013295046053826809
2,471.5950012207031,-146.81838989257812,11.118240356445312,1377,0.0,0,5,0.31758996844291687,1.0,127.86627197265625,0.04439385235309601,-0.14700017869472504,0.014411541633307934
2,474.7408447265625,-144.9888153076172,11.20030689239502,1479,0.0,0,5,0.27290967106819153,1.0,128.99441528320312,-0.17426593601703644,-0.1400081217288971,0.015505227260291576
2,477.9221496582031,-143.1561737060547,11.27834701538086,1581,0.0,0,5,0.3183671236038208,1.0,130.1210174560547,-0.03853246569633484,-0.14944885671138763,0.016611013561487198
2,481.2342529296875,-141.26649475097656,11.352511405944824,1686,0.0,0,5,0.23375296592712402,1.0,131.29415893554688,-0.018706897273659706,-0.20698219537734985,0.017751779407262802
2,484.5859069824219,-139.37754821777344,11.426694869995117,1791,0.0,0,5,0.3257597088813782,1.0,132.46182250976562,-0.030826468020677567,-0.3280484676361084,0.018909238278865814
2,487.8843688964844,-137.55357360839844,11.500247955322266,1893,0.0,0,5,0.3170970380306244,1.0,133.5662078857422,0.03193480521440506,-0.3608322739601135,0.02003938890993595
2,491.2261047363281,-135.7466583251953,11.57033920288086,1995,0.0,0,5,0.351095974445343,1.0,134.5657958984375,-0.21053656935691833,-0.33108779788017273,0.021180199459195137
2,494.7121276855469,-133.90060424804688,11.627975463867188,2100,0.0,0,5,0.32702547311782837,1.0,135.79698181152344,0.17030639946460724,-0.3780420422554016,0.02236444316804409
2,498.14361572265625,-132.12545776367188,11.686971664428711,2202,0.0,0,5,0.31558918952941895,1.0,136.863525390625,-0.026572223752737045,-0.29535821080207825,0.023526044562458992
2,501.6166076660156,-130.36517333984375,11.746306419372559,2304,0.0,0,5,0.23200289905071259,1.0,137.92137145996094,-0.07787232846021652,-0.33413493633270264,0.024694720283150673
2,505.23345947265625,-128.56663513183594,11.808218002319336,2409,0.0,0,5,0.25731873512268066,1.0,138.99778747558594,-0.07253024727106094,-0.21896959841251373,0.025909263640642166
2,508.8895263671875,-126.77777099609375,11.869620323181152,2514,0.0,0,5,0.2955719828605652,1.0,140.06292724609375,-0.001666454365476966,-0.2213781177997589,0.027131499722599983
2,512.4765014648438,-125.0458984375,11.93070125579834,2616,0.0,0,5,0.2960231900215149,1.0,141.0600128173828,-0.04593740776181221,-0.19231009483337402,0.0283273346722126
2,516.0950927734375,-123.3142318725586,11.991177558898926,2718,0.0,0,5,0.344516396522522,1.0,142.05299377441406,0.04993034526705742,0.011893734335899353,0.029531175270676613
2,519.8446655273438,-121.5158462524414,12.054033279418945,2823,0.0,0,5,0.23309504985809326,1.0,143.03707885742188,-0.04845461994409561,0.15502282977104187,0.030781690031290054
2,523.503662109375,-119.74009704589844,12.11571979522705,2925,0.0,0,5,0.21773427724838257,1.0,143.98081970214844,-0.038084182888269424,0.24586628377437592,0.03200569748878479
2,527.282470703125,-117.87471008300781,12.181200981140137,3030,0.0,0,5,0.30118560791015625,1.0,144.93490600585938,0.05291373282670975,0.23456746339797974,0.03327421844005585
2,530.9667358398438,-116.02984619140625,12.24328899383545,3132,0.0,0,5,0.23726508021354675,1.0,145.84707641601562,-0.11696688085794449,0.1557595133781433,0.03451177105307579
