time_ms,car_id,pos_x,pos_y,pos_z,velocity_x,velocity_y,velocity_z,gear,engine_rpm,normalized_spline_pos
0,7,-46.36239242553711,3.581420421600342,807.6179809570312,-46.95955276489258,-0.5826245546340942,29.363821029663086,5,8697,0.0006073469412513077
105,7,-50.03286361694336,3.53731632232666,809.9132690429688,-47.14568328857422,-0.5698108673095703,29.484590530395508,5,8741,0.0016768224304541945
216,7,-55.56218719482422,3.4654781818389893,813.3738403320312,-47.28082275390625,-0.6814295053482056,29.617042541503906,1,8439,0.0032882250379770994
311,7,-61.10166549682617,3.385007381439209,816.8504028320312,-47.4563102722168,-0.6217350959777832,29.858469009399414,6,7442,0.004903141874819994
416,7,-66.66525268554688,3.3184423446655273,820.360107421875,-47.64430618286133,-0.6025388836860657,30.114282608032227,6,7508,0.006527905352413654
548,7,-70.3872299194336,3.267420768737793,822.7147216796875,-47.790496826171875,-0.6474960446357727,30.254934310913086,6,7519,0.007615558337420225
725,7,-74.12176513671875,3.2256438732147217,825.0796508789062,-47.962867736816406,-0.4413885474205017,30.370328903198242,6,7529,0.008763011544942856
801,7,-74.12176513671875,3.2256438732147217,825.0796508789062,-47.962867736816406,-0.4413885474205017,30.370328903198242,6,7529,0.008763011544942856
888,7,-87.30065155029297,3.071077823638916,833.4103393554688,-48.57720184326172,-0.5801112055778503,30.676517486572266,6,7630,0.012558992020785809
956,7,-91.09610748291016,3.0253512859344482,835.8075561523438,-48.736488342285156,-0.6138811111450195,30.784435272216797,6,7665,0.013666481710970402
1079,7,-96.81265258789062,2.948185920715332,839.4192504882812,-48.976966857910156,-0.6725416779518127,30.950754165649414,6,7699,0.015339828096330166
1192,7,-102.5570068359375,2.8719911575317383,843.0509033203125,-49.208919525146484,-0.6109024286270142,31.126842498779297,6,7735,0.017018308863043785
1280,7,-108.32697296142578,2.80669903755188,846.7054443359375,-49.410160064697266,-0.5454558730125427,31.34600067138672,6,7776,0.0187052171677351
1465,7,-114.11798095703125,2.7362096309661865,850.388427734375,-49.573856353759766,-0.6503347158432007,31.615766525268555,6,7816,0.020402733236551285
1508,7,-114.11798095703125,2.7362096309661865,850.388427734375,-49.573856353759766,-0.6503347158432007,31.615766525268555,6,7816,0.020402733236551285
1600,7,-123.81233215332031,2.6061270236968994,856.5975341796875,-49.86859893798828,-0.6388502717018127,32.03803634643555,6,7868,0.0232466422021389
1701,7,-129.6599884033203,2.526200771331787,860.3563842773438,-50.08911895751953,-0.7381857633590698,32.203826904296875,6,7921,0.024962682276964188
1816,7,-133.57308959960938,2.4697160720825195,862.873291015625,-50.237152099609375,-0.693464457988739,32.329830169677734,6,7930,0.02611435018479824
1912,7,-139.4612274169922,2.393306255340576,866.6705322265625,-50.39997100830078,-0.6397713422775269,32.58736801147461,6,7975,0.02784547209739685
