time_ms,car_id,pos_x,pos_y,pos_z,velocity_x,velocity_y,velocity_z,gear,engine_rpm,normalized_spline_pos
0,16,-170.8019256591797,10.066177368164062,434.4227600097656,18.828506469726562,0.5140218734741211,28.903383255004883,3,5761,0.0010974932229146361
101,16,-168.87583923339844,10.159646987915039,437.266357421875,19.946474075317383,1.3174757957458496,28.605209350585938,3,5847,0.0021293938625603914
202,16,-166.87774658203125,10.2819185256958,440.09698486328125,20.358016967773438,1.0170422792434692,28.65164566040039,3,6029,0.003168787807226181
303,16,-164.8393096923828,10.36742877960205,442.94732666015625,20.810636520385742,0.8368037939071655,28.88117027282715,3,6009,0.004217212554067373
403,16,-162.75697326660156,10.452939987182617,445.81878662109375,21.223915100097656,0.8783028721809387,29.137117385864258,3,5997,0.0052767908200621605
505,16,-160.64227294921875,10.546714782714844,448.7196044921875,21.453048706054688,1.0014777183532715,29.471675872802734,3,6100,0.0063489885069429874
606,16,-158.5139923095703,10.64013957977295,451.65838623046875,21.528284072875977,0.8640874624252319,29.914047241210938,3,6175,0.0074334535747766495
706,16,-156.38345336914062,10.726207733154297,454.646240234375,21.502519607543945,0.9014811515808105,30.416746139526367,3,6241,0.008530139923095703
807,16,-154.2551727294922,10.810928344726562,457.6817321777344,21.492780685424805,0.7791339159011841,30.904190063476562,3,6280,0.009635886177420616
909,16,-152.13043212890625,10.886805534362793,460.7672424316406,21.428688049316406,0.783476710319519,31.4129581451416,3,6332,0.01065831258893013
1009,16,-150.0122528076172,10.966901779174805,463.9024658203125,21.368309020996094,0.8243197798728943,31.905881881713867,3,6382,0.012020297348499298
1111,16,-147.9018096923828,11.05224895477295,467.0826416015625,21.205602645874023,0.9153975248336792,32.23773193359375,1,6176,0.013035347685217857
1211,16,-145.81781005859375,11.145987510681152,470.2801208496094,20.92612648010254,0.9319358468055725,32.37073516845703,4,5429,0.014178959652781487
1313,16,-143.0618896484375,11.263428688049316,474.5888671875,20.84258460998535,0.8526493310928345,32.91193389892578,4,5515,0.015708837658166885
1414,16,-141.00042724609375,11.3441743850708,477.8674011230469,20.814279556274414,0.7746338844299316,33.31291961669922,4,5568,0.016867542639374733
1514,16,-138.9404754638672,11.418241500854492,481.1859436035156,20.799503326416016,0.7484638690948486,33.717857360839844,4,5604,0.018034644424915314
1616,16,-136.8827667236328,11.495390892028809,484.54486083984375,20.771604537963867,0.7983062863349915,34.12548828125,4,5662,0.0192191693931818
1716,16,-134.82843017578125,11.573960304260254,487.9447326660156,20.715925216674805,0.7837859392166138,34.55332565307617,4,5718,0.0204062070697546
