car_id,pos_x,pos_y,pos_z,velocity_x,velocity_y,velocity_z,gear,engine_rpm,normalized_spline_pos
18,133.1291961669922,-2.277510166168213,-48.58867645263672,-11.010910987854004,-0.015428401529788971,44.32427215576172,6,5291,0.24293722212314606
18,132.6025848388672,-2.2795755863189697,-46.45797348022461,-10.93951416015625,-0.07426951825618744,44.444637298583984,6,5330,0.24357745051383972
18,131.04165649414062,-2.294870615005493,-40.02983856201172,-10.754632949829102,-0.07453946769237518,44.821075439453125,6,5341,0.2455051988363266
18,130.0127410888672,-2.302966833114624,-35.71559143066406,-10.682730674743652,-0.1141328439116478,45.04788589477539,6,5380,0.24679924547672272
18,128.9903564453125,-2.318114757537842,-31.379243850708008,-10.618951797485352,-0.1695789396762848,45.28529739379883,6,5389,0.24809707701206207
18,127.46414184570312,-2.335860252380371,-24.833908081054688,-10.583218574523926,-0.1328757405281067,45.60468673706055,6,5467,0.25005555152893066
18,126.44850158691406,-2.3454153537750244,-20.444353103637695,-10.58084487915039,-0.025597315281629562,45.82823181152344,6,5445,0.2513688802719116
18,125.43173217773438,-2.3431801795959473,-16.03458595275879,-10.60589599609375,0.04579496756196022,46.03258514404297,6,5473,0.25268757343292236
18,124.41139221191406,-2.3403661251068115,-11.605745315551758,-10.652876853942871,0.007830845192074776,46.22872543334961,6,5501,0.25401219725608826
18,123.3858871459961,-2.343777894973755,-7.158036708831787,-10.7101411819458,-0.08489744365215302,46.424251556396484,6,5532,0.25534287095069885
18,121.83605194091797,-2.3578789234161377,-0.4514685869216919,-10.817349433898926,-0.06660816818475723,46.713134765625,6,5554,0.25735005736351013
18,120.79379272460938,-2.3613548278808594,4.042256832122803,-10.893921852111816,-0.012003190815448761,46.899864196777344,6,5577,0.2586943507194519
18,119.74433898925781,-2.3607704639434814,8.553840637207031,-10.966922760009766,0.01760081760585308,47.08534240722656,6,5600,0.260043203830719
18,118.68817901611328,-2.3614296913146973,13.083189010620117,-11.031899452209473,-0.058753155171871185,47.27047348022461,6,5632,0.2613986134529114
18,117.62657928466797,-2.377952814102173,17.630529403686523,-11.078544616699219,-0.2742425203323364,47.461307525634766,6,5669,0.2627590000629425
18,116.03111267089844,-2.4127509593963623,24.487871170043945,-11.064767837524414,-0.1521185338497162,47.771968841552734,6,5672,0.26481014490127563
18,114.97021484375,-2.423532724380493,29.084121704101562,-11.04015064239502,-0.09639417380094528,47.9752197265625,6,5701,0.2661862373352051
18,113.9111557006836,-2.4341516494750977,33.69960403442383,-11.025666236877441,-0.12985071539878845,48.174583435058594,6,5726,0.2675659656524658
18,112.85285186767578,-2.448902130126953,38.33414077758789,-11.023821830749512,-0.17191016674041748,48.371646881103516,6,5748,0.26895231008529663
18,111.7940902709961,-2.4661433696746826,42.9874267578125,-11.034976959228516,-0.18724629282951355,48.564476013183594,6,5768,0.2703438401222229
18,110.20314025878906,-2.495159864425659,50.00149154663086,-11.060693740844727,-0.2129163146018982,48.84700012207031,6,5797,0.27243998646736145
18,109.14051818847656,-2.5182125568389893,54.69998550415039,-11.07708740234375,-0.26842471957206726,49.03232192993164,6,5824,0.2738441526889801
18,108.07621002197266,-2.544508695602417,59.41631317138672,-11.095542907714844,-0.27144336700439453,49.217533111572266,6,5839,0.2752535045146942
18,106.47655487060547,-2.583519458770752,66.5237045288086,-11.118194580078125,-0.28776413202285767,49.4899787902832,6,5872,0.27737754583358765
18,105.4089126586914,-2.615415096282959,71.28372955322266,-11.123004913330078,-0.3825218081474304,49.6718864440918,6,5897,0.27879878878593445
18,104.34092712402344,-2.656196117401123,76.0613021850586,-11.12548828125,-0.4440259337425232,49.855072021484375,6,5912,0.28022515773773193
18,103.2728042602539,-2.6964426040649414,80.85633087158203,-11.12752628326416,-0.3795180320739746,50.034912109375,6,5926,0.2816586196422577
18,102.20419311523438,-2.7272939682006836,85.6683578491211,-11.136419296264648,-0.2699350118637085,50.20893096923828,6,5944,0.2830946445465088
18,100.59874725341797,-2.762971878051758,92.91712951660156,-11.160948753356934,-0.2789995074272156,50.46183395385742,6,5982,0.28525951504707336
18,99.52667236328125,-2.795006513595581,97.76985931396484,-11.17245864868164,-0.38094964623451233,50.63212966918945,6,5999,0.2867079973220825
18,98.45374298095703,-2.8364343643188477,102.63896179199219,-11.180159568786621,-0.48498445749282837,50.80095672607422,6,6021,0.2881580591201782
18,97.37995147705078,-2.888775587081909,107.5241928100586,-11.190398216247559,-0.5950156450271606,50.96934509277344,6,6039,0.28961989283561707
18,96.30497741699219,-2.9485151767730713,112.42558288574219,-11.205462455749512,-0.6327183246612549,51.136688232421875,6,6054,0.2910826802253723
18,95.76683807373047,-2.978522300720215,114.88224792480469,-11.217142105102539,-0.6133695840835571,51.21902084350586,6,6060,0.2918151021003723
18,93.6064224243164,-3.0747060775756836,124.74736022949219,-11.289984703063965,-0.3711144030094147,51.53458023071289,6,6092,0.2947600781917572
18,92.52072143554688,-3.103661298751831,129.70217895507812,-11.325420379638672,-0.23963770270347595,51.686370849609375,6,6109,0.29623690247535706
18,91.43317413330078,-3.1217710971832275,134.67173767089844,-11.320770263671875,-0.14757908880710602,51.84248733520508,6,6130,0.29772070050239563
18,90.89051055908203,-3.127681255340576,137.16233825683594,-11.287954330444336,-0.09663189202547073,51.92665100097656,6,6138,0.298464298248291
18,88.74712371826172,-3.113208293914795,147.16624450683594,-11.021604537963867,0.2526942491531372,52.275272369384766,6,6166,0.30144670605659485
18,88.21986389160156,-3.0987465381622314,149.67759704589844,-10.953227996826172,0.3415704071521759,52.36005401611328,6,6173,0.3021940290927887
