lapTimeMs,pos_z,pos_y,pos_x,accg_z,lap,accg_x,accg_y,lapInvalidated,trackPosition,speedKmh,gas,gear,brake
6,-10.567047119140625,6.939436912536621,426.86846923828125,0.40309104323387146,2,0.10769091546535492,-0.20651090145111084,0,0.0011942253913730383,202.46249389648438,1.0,5,0.0
123,-4.673264980316162,6.944730758666992,429.8583679199219,0.4085170030593872,2,0.14343081414699554,0.08194034546613693,0,0.005065571516752243,204.10122680664062,1.0,5,0.0
240,1.25987708568573,6.956228733062744,432.8893737792969,0.416845440864563,2,0.1798979640007019,0.14879678189754486,0,0.008970034308731556,205.75624084472656,1.0,5,0.0
357,7.229249954223633,6.978655815124512,435.963623046875,0.3419167101383209,2,0.07958319038152695,-0.19765333831310272,0,0.012890325859189034,207.30992126464844,1.0,5,0.0
474,13.236969947814941,6.975546836853027,439.0709228515625,0.41787785291671753,2,0.04364381730556488,-0.050459012389183044,0,0.016831116750836372,208.8297119140625,1.0,5,0.0
585,18.976091384887695,6.969305992126465,442.04595947265625,0.37725329399108887,2,0.037056609988212585,0.44410303235054016,0,0.020605679601430893,210.34837341308594,1.0,5,0.0
702,25.065807342529297,6.99115514755249,445.2085876464844,0.3911879360675812,2,0.008387163281440735,-0.07194644212722778,0,0.024463439360260963,211.83763122558594,1.0,5,0.0
819,31.182357788085938,7.010666847229004,448.3874206542969,-0.09193351864814758,2,-0.030292220413684845,0.052890900522470474,0,0.02861562743782997,211.97311401367188,1.0,1,0.0
936,37.32268524169922,7.032991409301758,451.5787353515625,0.29435670375823975,2,0.1304263472557068,-0.18849292397499084,0,0.03265659138560295,213.74090576171875,1.0,6,0.0
1053,43.501773834228516,7.039209842681885,454.80572509765625,0.3673238158226013,2,0.17503151297569275,0.07590490579605103,0,0.03673018142580986,215.1469268798828,1.0,6,0.0
1167,49.552425384521484,7.048581123352051,457.989501953125,0.38220536708831787,2,0.18060852587223053,0.01029589120298624,0,0.04072316363453865,216.56373596191406,1.0,6,0.0
1269,54.991188049316406,7.055047512054443,460.8716735839844,0.3372805118560791,2,0.12069185823202133,-0.1378863900899887,0,0.04431353136897087,217.79840087890625,1.0,6,0.0
1386,61.261714935302734,7.054340839385986,464.2115478515625,0.3384343385696411,2,0.07800747454166412,0.09285162389278412,0,0.04847463220357895,219.28268432617188,1.0,6,0.0
1503,67.5691146850586,7.074102401733398,467.5829772949219,0.3358132839202881,2,0.017861589789390564,0.33226150274276733,0,0.05264545977115631,220.72686767578125,1.0,6,0.0
1617,73.75199127197266,7.125094890594482,470.8919372558594,0.29471975564956665,2,0.02929166704416275,-0.19059331715106964,0,0.05674826353788376,222.0693817138672,1.0,6,0.0
1719,79.31477355957031,7.157253265380859,473.87054443359375,0.34017592668533325,2,-0.004488036036491394,-0.0985846221446991,0,0.06043371558189392,223.2649383544922,1.0,6,0.0
1836,85.73412322998047,7.182453155517578,477.3070068359375,0.33554887771606445,2,-0.009011924266815186,0.12459806352853775,0,0.06469700485467911,224.69729614257812,1.0,6,0.0
1953,92.19424438476562,7.221611022949219,480.763916015625,0.32622817158699036,2,-0.018913134932518005,0.33506613969802856,0,0.06897260993719101,226.09658813476562,1.0,6,0.0
2067,98.52716827392578,7.2915544509887695,484.1507263183594,0.29577505588531494,2,0.005601473152637482,-0.0473572313785553,0,0.07316646724939346,227.3920135498047,1.0,6,0.0
2169,104.22450256347656,7.356723785400391,487.196533203125,0.3166530132293701,2,-0.052988894283771515,0.008436597883701324,0,0.07693065702915192,228.54798889160156,1.0,6,0.0
2286,110.8004379272461,7.438729763031006,490.70037841796875,0.29997286200523376,2,-0.2842245399951935,-0.0037874593399465084,0,0.0812709853053093,229.88096618652344,1.0,6,0.0
2403,117.43334197998047,7.529597282409668,494.1843566894531,0.27457451820373535,2,-0.7046065330505371,0.1341702938079834,0,0.08563366532325745,231.11534118652344,1.0,6,0.0
2517,123.9701919555664,7.630260944366455,497.51385498046875,0.24701619148254395,2,-0.74569171667099,-0.04756328463554382,0,0.08989659696817398,232.1799774169922,1.0,6,0.0
2619,129.88270568847656,7.716361045837402,500.4266052246094,0.29120638966560364,2,-0.9338394403457642,-0.002471810206770897,0,0.09373053163290024,233.0991973876953,1.0,6,0.0
2736,136.74636840820312,7.820950984954834,503.6731262207031,0.2818222939968109,2,-1.176789402961731,0.22389182448387146,0,0.09813947975635529,234.1044464111328,1.0,6,0.0
2853,143.7000732421875,7.94718599319458,506.8034362792969,0.30442243814468384,2,-0.9273226857185364,-0.10209234058856964,0,0.10257304459810257,235.1380157470703,1.0,6,0.0
2967,150.54757690429688,8.062288284301758,509.7602233886719,-0.21651144325733185,2,-0.7263886332511902,-0.32986778020858765,0,0.10691298544406891,235.54354858398438,0.0,6,0.0
3069,156.69178771972656,8.141252517700195,512.3282470703125,-0.2329363226890564,2,-0.6801828145980835,0.05814831331372261,0,0.11077863723039627,234.63552856445312,0.0,6,0.0
3186,163.74075317382812,8.234688758850098,515.1869506835938,-0.7954006195068359,2,-0.6734204888343811,0.2550376355648041,0,0.11520898342132568,233.496826171875,0.0,6,0.6177409291267395
3303,170.72720336914062,8.352039337158203,517.9357299804688,-1.0738879442214966,2,-0.3704998195171356,-0.19126346707344055,0,0.11957709491252899,228.9923553466797,0.0,6,0.5374094247817993
3417,177.43104553222656,8.440217971801758,520.530517578125,-0.35595816373825073,2,-0.028518326580524445,-0.8825773596763611,0,0.12376146763563156,225.81472778320312,0.0,6,0.16231147944927216
