lapTimeMs,pos_z,pos_y,pos_x,accg_z,lap,accg_x,accg_y,lapInvalidated,trackPosition,speedKmh,gas,gear,brake
6,-10.997117042541504,6.928827285766602,427.4917297363281,0.39838695526123047,3,-0.009082898497581482,-0.2234913855791092,0,0.0011172753293067217,202.1715087890625,1.0,5,0.0
120,-5.305779933929443,6.931849956512451,430.4839782714844,0.42756742238998413,3,-0.06014092266559601,0.07905803620815277,0,0.004876661114394665,203.80740356445312,1.0,5,0.0
222,-0.1722577065229416,6.938794136047363,433.17657470703125,0.40215617418289185,3,-0.05867643654346466,0.16961677372455597,0,0.008287741802632809,205.24061584472656,1.0,5,0.0
339,5.761514186859131,6.963198661804199,436.2802734375,-0.08336812257766724,3,-0.047587715089321136,-0.20170803368091583,0,0.012209550477564335,206.4093780517578,1.0,1,0.0
456,11.709867477416992,6.96836519241333,439.3844909667969,0.5404229164123535,3,-0.014806166291236877,-0.23666660487651825,0,0.016120605170726776,207.014404296875,1.0,6,0.0
570,17.5502986907959,6.958775520324707,442.4316101074219,0.3589688837528229,3,0.14028611779212952,0.3622516989707947,0,0.019952593371272087,208.7260284423828,1.0,6,0.0
672,22.805152893066406,6.972375392913818,445.1866455078125,0.28638312220573425,3,0.09293407201766968,-0.19779618084430695,0,0.02412879839539528,209.9401092529297,1.0,6,0.0
789,28.86408805847168,6.984387397766113,448.38360595703125,0.3313968777656555,3,0.16554495692253113,0.18991321325302124,0,0.027401242405176163,211.4878387451172,1.0,6,0.0
906,34.95623016357422,7.0112528800964355,451.6220397949219,0.3624834716320038,3,0.10005849599838257,-0.1759863644838333,0,0.03142552822828293,212.96607971191406,1.0,6,0.0
1020,40.92622375488281,7.023782730102539,454.8099365234375,0.34508562088012695,3,0.06239660084247589,-0.0764155164361,0,0.03538498282432556,214.38186645507812,1.0,6,0.0
1122,46.29939270019531,7.029240608215332,457.6865234375,0.37437981367111206,3,0.028091102838516235,0.0603463239967823,0,0.03896017745137215,215.71148681640625,1.0,6,0.0
1239,52.50083923339844,7.0394062995910645,461.0103454589844,0.3302476406097412,3,0.008848428726196289,-0.11607212573289871,0,0.04305634647607803,217.17628479003906,1.0,6,0.0
1356,58.74449157714844,7.0361738204956055,464.35491943359375,0.3362893760204315,3,-0.02916380763053894,0.0030097102280706167,0,0.04719588905572891,218.6068115234375,1.0,6,0.0
1470,64.87339782714844,7.04164981842041,467.6263732910156,0.40844473242759705,3,-0.16353130340576172,0.48649418354034424,0,0.05126866698265076,220.04782104492188,1.0,6,0.0
1572,70.39728546142578,7.08359956741333,470.5576477050781,0.35719311237335205,3,-0.08762932568788528,0.06277298927307129,0,0.05491980165243149,221.27700805664062,1.0,6,0.0
1689,76.77494812011719,7.130290508270264,473.9303283691406,0.34912386536598206,3,-0.07011045515537262,-0.2073626071214676,0,0.059140026569366455,222.6220245361328,1.0,6,0.0
1806,83.19962310791016,7.156006813049316,477.31207275390625,0.35841718316078186,3,-0.32162269949913025,-0.004176598507910967,0,0.0633896216750145,224.03485107421875,1.0,6,0.0
1920,89.51727294921875,7.186568260192871,480.589111328125,0.3275294899940491,3,-0.4857203960418701,0.23155394196510315,0,0.06754335761070251,225.3456573486328,1.0,6,0.0
2022,95.22567749023438,7.2401628494262695,483.4885559082031,0.3325002193450928,3,-0.5140944123268127,0.14850164949893951,0,0.0712805911898613,226.4986114501953,1.0,6,0.0
2139,101.83662414550781,7.3193745613098145,486.7766418457031,0.31694433093070984,3,-0.30842840671539307,-0.014303606934845448,0,0.07558369636535645,227.8165283203125,1.0,6,0.0
2253,108.3331298828125,7.400269508361816,489.9623718261719,0.3130529224872589,3,-0.16759730875492096,0.11224440485239029,0,0.07980647683143616,229.1044921875,1.0,6,0.0
2355,114.18487548828125,7.481403350830078,492.8111877441406,0.30703088641166687,3,-0.16475506126880646,0.06666668504476547,0,0.08358773589134216,230.24209594726562,1.0,6,0.0
2472,120.94245910644531,7.58215856552124,496.0762023925781,0.28910642862319946,3,-0.38991445302963257,0.0406985841691494,0,0.08795122802257538,231.51480102539062,1.0,6,0.0
2589,127.7564468383789,7.685582637786865,499.31622314453125,0.34183749556541443,3,-0.4324350357055664,-0.05497217923402786,0,0.09233345091342926,232.73846435546875,1.0,6,0.0
2691,133.7479248046875,7.773815155029297,502.1099853515625,0.32231277227401733,3,-0.6316499710083008,0.09474875777959824,0,0.09617214649915695,233.83322143554688,1.0,6,0.0
2808,140.68740844726562,7.892914772033691,505.2555847167969,0.250243216753006,3,-0.6380571126937866,-0.002522354945540428,0,0.10059995204210281,234.9923858642578,1.0,6,0.0
2922,147.51806640625,8.015814781188965,508.25128173828125,0.24577917158603668,3,-0.6721318960189819,-0.20282123982906342,0,0.10494638234376907,236.0637969970703,1.0,6,0.0
3024,153.6827392578125,8.10578441619873,510.8720703125,-0.23061145842075348,3,-0.9546371698379517,-0.13931231200695038,0,0.10883738845586777,236.4688720703125,0.0,6,0.0
3141,160.77879333496094,8.196246147155762,513.7713012695312,-0.2442326843738556,3,-0.9429391026496887,0.1093449741601944,0,0.11329434812068939,235.35833740234375,0.0,6,0.0
3258,167.86141967773438,8.30588150024414,516.5262451171875,-0.9569950699806213,3,-0.8096795678138733,-0.005657870322465897,0,0.11771422624588013,231.91748046875,0.0,6,0.47258785367012024
3372,174.67691040039062,8.411499977111816,519.0728149414062,-0.8569527864456177,3,-0.2909888029098511,-0.4834807217121124,0,0.12195003777742386,228.01315307617188,0.0,6,0.41083839535713196
3474,180.7095489501953,8.44894027709961,521.2937622070312,-0.24722377955913544,3,-0.05191841721534729,-0.9441948533058167,0,0.1256914734840393,226.2965087890625,0.0,6,0.0
3594,187.75994873046875,8.395037651062012,523.8626098632812,-1.2186956405639648,3,-0.7040400505065918,-0.06725050508975983,0,0.13006164133548737,223.46258544921875,0.0,6,0.7023376822471619
3696,193.66043090820312,8.33980655670166,525.9402465820312,-0.8352198600769043,3,-0.6336000561714172,-0.2664232552051544,0,0.13371142745018005,218.92190551757812,0.0,6,0.42573535442352295
3813,200.34811401367188,8.24929428100586,528.2205200195312,-0.8041081428527832,3,-0.3961948752403259,-0.5564155578613281,0,0.1378358006477356,216.1685333251953,0.0,6,0.4640294313430786
3930,206.9326934814453,8.107552528381348,530.4125366210938,-1.3369359970092773,3,-0.5476655960083008,0.04327256977558136,0,0.14189641177654266,211.0301055908203,0.0,1,0.6878534555435181
4044,213.2174835205078,7.967227935791016,532.438232421875,-0.99690181016922,3,-0.479408323764801,-0.25394803285598755,0,0.14576037228107452,206.7847137451172,0.0,1,0.5794780254364014
4146,218.72866821289062,7.835873126983643,534.1676635742188,-2.125154733657837,3,-0.29287582635879517,0.44869762659072876,0,0.14915251731872559,200.8898162841797,0.0,5,0.9129522442817688
4263,224.83517456054688,7.733198642730713,536.04736328125,-1.4416509866714478,3,-0.3635787069797516,0.006339807063341141,0,0.1528988927602768,193.39239501953125,0.0,5,0.6471796631813049
4380,230.76719665527344,7.634063720703125,537.8331909179688,-1.3212883472442627,3,-0.20037218928337097,-0.20257681608200073,0,0.15653085708618164,188.33372497558594,0.0,5,0.6375175714492798
4494,236.38861083984375,7.527193069458008,539.4960327148438,-1.4362181425094604,3,-0.23334428668022156,0.06195038929581642,0,0.15995989739894867,182.38589477539062,0.0,5,0.7000932097434998
4602,241.5565643310547,7.439925193786621,540.9940185546875,-1.4133844375610352,3,-0.3800908625125885,0.10462172329425812,0,0.1631007194519043,176.82565307617188,0.0,5,0.0
4719,247.06529235839844,7.3689470291137695,542.5158081054688,-0.22184857726097107,3,-1.0597710609436035,0.15680710971355438,0,0.16642363369464874,175.40682983398438,0.0,5,0.0
4836,252.57777404785156,7.3217644691467285,543.904052734375,-0.17987537384033203,3,-1.0516421794891357,0.1030770093202591,0,0.16971346735954285,174.51702880859375,0.0,5,0.0
4953,258.0938720703125,7.290616035461426,545.1558837890625,-0.1346934288740158,3,-0.8963645696640015,0.028850847855210304,0,0.1729765683412552,173.67735290527344,0.19199998676776886,5,0.0
5067,263.4755554199219,7.264529228210449,546.2593994140625,0.06225208938121796,3,-0.8333033323287964,-0.08351209759712219,0,0.17614080011844635,173.45193481445312,0.648000180721283,5,0.0
5169,268.3111877441406,7.240176200866699,547.154296875,-0.2073010355234146,3,-1.0271270275115967,0.08700275421142578,0,0.17896898090839386,173.50018310546875,0.0,5,0.0
5286,273.860595703125,7.221444606781006,548.064208984375,-0.1604354977607727,3,-0.8154118061065674,-0.03107539936900139,0,0.1822047233581543,172.65467834472656,0.0,5,0.0
5403,279.39947509765625,7.210531711578369,548.862548828125,-0.1903178095817566,3,-0.8373717665672302,0.24260152876377106,0,0.18541377782821655,171.7847137451172,0.07200000435113907,5,0.0
5517,284.7888488769531,7.222499847412109,549.533935546875,0.020167678594589233,3,-0.8042234778404236,0.1728018969297409,0,0.18850243091583252,171.3964385986328,0.5279999375343323,5,0.0
5619,289.6206970214844,7.246997833251953,550.0480346679688,-0.15169653296470642,3,-0.8871862888336182,0.05793031305074692,0,0.19127823412418365,171.54505920410156,0.0,5,0.0
5736,295.1595764160156,7.277616024017334,550.5379638671875,-0.17306068539619446,3,-0.6862423419952393,-0.016690693795681,0,0.19443310797214508,170.72584533691406,0.0,5,0.0
5853,300.68023681640625,7.302603244781494,550.934326171875,-0.10697981715202332,3,-0.7515159845352173,0.001338043250143528,0,0.19756117463111877,169.9954833984375,0.2759999632835388,5,0.0
5970,306.1942138671875,7.32740592956543,551.22607421875,0.12233231961727142,3,-0.8491631746292114,-0.036762598901987076,0,0.20066748559474945,169.96310424804688,0.7440003752708435,5,0.0
6087,311.7170715332031,7.347767353057861,551.4071044921875,-0.16755451261997223,3,-0.6872643828392029,-0.1284133493900299,0,0.20375195145606995,169.8115692138672,0.0,5,0.0
6204,317.221435546875,7.354981422424316,551.4953002929688,-0.18315079808235168,3,-0.7026969194412231,0.036432381719350815,0,0.20680120587348938,169.01043701171875,0.0,5,0.0
6321,322.7022705078125,7.362752437591553,551.4967651367188,-0.059313468635082245,3,-0.6649911403656006,0.08341331779956818,0,0.20984134078025818,168.4299774169922,0.38399991393089294,5,0.0
6435,328.0371398925781,7.374605178833008,551.4158325195312,-0.0421130433678627,3,-0.44018664956092834,-0.1044454351067543,0,0.2127588540315628,168.62762451171875,0.0,5,0.0
6546,333.2176513671875,7.375803470611572,551.28271484375,-0.8768854737281799,3,-0.014629486948251724,-0.6330582499504089,0,0.21559415757656097,167.0963897705078,0.0,5,0.0
6648,337.9009094238281,7.341142654418945,551.1442260742188,-0.9460536241531372,3,-0.6230451464653015,0.8059074282646179,0,0.21813778579235077,163.8610076904297,0.0,5,0.0
6762,343.0060729980469,7.342822074890137,550.9349975585938,-1.7172473669052124,3,-0.3169492185115814,-0.7015733122825623,0,0.22088728845119476,158.64671325683594,0.0,5,0.1813426911830902
6864,347.38067626953125,7.314788341522217,550.7069091796875,-3.280763626098633,3,-0.9791738986968994,1.270618200302124,0,0.2232026904821396,150.0976104736328,0.0,5,1.0
6981,352.03509521484375,7.392594814300537,550.3580322265625,-1.5232813358306885,3,-0.5810120701789856,-0.3398829698562622,0,0.2257397472858429,139.3677520751953,0.0,5,0.10221190750598907
7098,356.4456481933594,7.448151111602783,549.9597778320312,-1.311800479888916,3,-0.024770542979240417,-1.0596520900726318,0,0.2281225025653839,133.73484802246094,0.0,5,0.0
7200,360.14239501953125,7.399863243103027,549.6070556640625,-1.8057290315628052,3,-1.6510462760925293,0.7205387353897095,0,0.23014479875564575,128.55633544921875,0.0,5,0.0
